book_id,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,publication_year,publication_year_flag,average_rating_flag,num_pages_raw,page_length_bucket,media_type_hint,num_pages_capped,ratings_count_raw,ratings_count_capped,text_reviews_count_raw,text_reviews_count_capped,authors_raw,authors_clean,canonical_book_id,is_duplicate
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling / Mary GrandPré,4.57,0439785960,9780439785969,eng,652,2095690,27591,2006-09-16,Scholastic Inc.,2006,,,652,,,652,2095690,597244,27591,14812,J.K. Rowling/Mary GrandPré,J.K. Rowling/Mary GrandPré,1,False
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling / Mary GrandPré,4.49,0439358078,9780439358071,eng,870,2153167,29221,2004-09-01,Scholastic Inc.,2004,,,870,,,870,2153167,597244,29221,14812,J.K. Rowling/Mary GrandPré,J.K. Rowling/Mary GrandPré,2,False
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,0439554896,9780439554893,eng,352,6333,244,2003-11-01,Scholastic,2003,,,352,,,352,6333,6333,244,244,J.K. Rowling,J.K. Rowling,4,False
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling / Mary GrandPré,4.56,043965548X,9780439655484,eng,435,2339585,36325,2004-05-01,Scholastic Inc.,2004,,,435,,,435,2339585,597244,36325,14812,J.K. Rowling/Mary GrandPré,J.K. Rowling/Mary GrandPré,5,False
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling / Mary GrandPré,4.78,0439682584,9780439682589,eng,2690,41428,164,2004-09-13,Scholastic,2004,,,2690,multi_volume,,2000,41428,41428,164,164,J.K. Rowling/Mary GrandPré,J.K. Rowling/Mary GrandPré,8,False
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,0976540606,9780976540601,en-US,152,19,1,2005-04-26,Nimble Books,2005,,,152,,,152,19,19,1,1,W. Frederick Zimmerman,W. Frederick Zimmerman,9,False
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,0439827604,9780439827607,eng,3342,28242,808,2005-09-12,Scholastic,2005,,,3342,multi_volume,,2000,28242,28242,808,808,J.K. Rowling,J.K. Rowling,10,False
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517226952,9780517226957,eng,815,3628,254,2005-11-01,Gramercy Books,2005,,,815,,,815,3628,3628,254,254,Douglas Adams,Douglas Adams,12,False
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0345453743,9780345453747,eng,815,249558,4080,2002-04-30,Del Rey Books,2002,,,815,,,815,249558,249558,4080,4080,Douglas Adams,Douglas Adams,13,False
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929,eng,215,4930,460,2004-08-03,Crown,2004,,,215,,,215,4930,4930,460,460,Douglas Adams,Douglas Adams,14,False
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams / Stephen Fry,4.22,0739322206,9780739322208,eng,6,1266,253,2005-03-23,Random House Audio,2005,,,6,short_reference,,6,1266,1266,253,253,Douglas Adams/Stephen Fry,Douglas Adams/Stephen Fry,16,False
