duplicate_bookID,canonical_bookID,title,authors,publication_date
23894,763,Cien años de soledad,Gabriel García Márquez,2/7/2006
4223,968,The Da Vinci Code (Robert Langdon  #2),Dan Brown,3/28/2006
4248,969,The Da Vinci Code,Dan Brown,3/28/2006
4104,2140,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,1/11/2005
22669,5190,Open House,Elizabeth Berg,5/1/2001
19135,5414,'Salem's Lot,Stephen King/Ron McLarty,1/19/2004
12683,10593,The Shining,Stephen King/Campbell Scott,8/2/2005
11557,11541,Swan Song,Robert R. McCammon,6/1/1987
12684,12682,The Shining,Stephen King,10/1/2002
36303,19137,'Salem's Lot,Stephen King,8/1/1976
41033,21665,The Best American Mystery Stories 2004,Nelson DeMille/Otto Penzler,10/14/2004
21746,21735,The Enemy (Jack Reacher  #8),Lee Child/Dick Hill,5/11/2004
21759,21756,Tripwire (Jack Reacher  #3),Lee Child/Dick Hill,11/25/2004
21763,21756,Tripwire (Jack Reacher  #3),Lee Child/Dick Hill,11/25/2004
21764,21758,The Enemy (Jack Reacher  #8),Lee Child/Dick Hill,6/10/2004
39028,21974,The Wheel of Darkness (Pendergast  #8),Douglas Preston/Lincoln Child,8/28/2007
