authors,count
Stephen King,40
P.G. Wodehouse,40
Rumiko Takahashi,39
Orson Scott Card,35
Agatha Christie,33
Piers Anthony,30
Mercedes Lackey,29
Sandra Brown,29
Dick Francis,28
Laurell K. Hamilton,23
Terry Pratchett,23
Margaret Weis/Tracy Hickman,23
James Patterson,23
Gordon Korman,22
Alan Dean Foster,21
Bill Bryson,21
Dan Simmons,21
Janet Evanovich,21
Gabriel García Márquez,20
Dean Koontz,20
Robert A. Heinlein,18
Terry Brooks,18
Philip Roth,18
Jodi Picoult,17
J.R.R. Tolkien,17
Anne Rice,17
Dr. Seuss,16
Maeve Binchy,16
Roald Dahl,16
Joyce Carol Oates,16
Marian Keyes,16
John Grisham,16
Toni Morrison,16
V.C. Andrews,15
Paul Auster,15
Nora Roberts,15
Kurt Vonnegut Jr.,15
Alexander McCall Smith,15
Michael Crichton,15
Francine Pascal/Kate William,15
Roald Dahl/Quentin Blake,15
Tite Kubo,14
Jeffery Deaver,14
Nicholas Sparks,14
William Shakespeare,14
Douglas Adams,14
Isaac Asimov,14
Don DeLillo,14
J.R.R. Tolkien/Christopher Tolkien,14
Clive Cussler,13
John Irving,13
Erin St. Claire/Sandra Brown,13
Philippa Gregory,12
Meg Cabot,12
Carl Hiaasen,12
John Steinbeck,12
Hiromu Arakawa/Akira Watanabe,12
Jane Austen,12
Lynsay Sands,12
Mary Higgins Clark,12
Dan Brown,12
Douglas Coupland,11
P.D. James,11
Chuck Palahniuk,11
J.K. Rowling,11
Ray Bradbury,11
Patricia Cornwell,11
Hirohiko Araki,11
Ursula K. Le Guin,11
James A. Michener,11
William Sleator,11
John McPhee,11
Jack Vance,11
Clive Barker,11
Lee Child/Dick Hill,11
Jane Green,11
Eoin Colfer,11
T. Coraghessan Boyle,11
Robin McKinley,11
Patrick O'Brian,11
Aldous Huxley,10
Philip K. Dick,10
Ian Fleming,10
Richard A. Knaak,10
David Morrell,10
Lloyd Alexander,10
Anne Stuart,10
Iain M. Banks,10
William Faulkner,10
Thomas Pynchon,10
Yumi Hotta/Yumi Hotta,10
Tad Williams,10
Robert R. McCammon,10
Jill Mansell,10
Martin Amis,10
Joseph Wambaugh,10
Tamora Pierce,10
Christopher Hitchens,10
Frank Herbert,10
Emma Donoghue,10
Colleen McCullough,10
Kim Stanley Robinson,10
Diana Gabaldon,10
Raymond E. Feist,10
Philip Pullman,10
C.S. Lewis,10
Jane Smiley,9
Richard P. Feynman,9
M.C. Beaton,9
Douglas Clegg,9
Anne Tyler,9
Robert Ludlum,9
Dave Eggers,9
Salman Rushdie,9
Ernest Hemingway,9
Nelson DeMille,9
Charles Todd,9
Cynthia Harrod-Eagles,9
Tim LaHaye/Jerry B. Jenkins,9
Michael Connelly,9
Edgar Rice Burroughs,9
William Goldman,9
Tom Clancy,9
Juliet Marillier,9
Francesca Lia Block,9
Jeanette Winterson,9
L.A. Banks,9
Julie Kenner,9
Joan Didion,9
Francine Pascal,9
P.C. Cast,9
Lawrence Block,9
Shel Silverstein,8
Hiromu Arakawa/荒川弘/方郁仁,8
Joanne Fluke,8
Georgette Heyer,8
John Banville,8
Judy Blume,8
Stephen Jay Gould,8
Jennifer Crusie,8
Tom Stoppard,8
Christopher Moore,8
Herman Wouk,8
James Baldwin,8
John Brunner,8
José Saramago/Giovanni Pontiero,8
Neil Gaiman,8
Karen Armstrong,8
Charles Dickens,8
Truman Capote,8
Isabel Allende,8
Ian McEwan,8
Carlos Castañeda,8
John Saul,8
Alice Munro,8
CLAMP/William Flanagan,8
Karen Kingsbury,8
Tom Robbins,8
Sophie Kinsella,8
David McCullough,8
Martha Grimes,8
Mary  Stewart,8
Richard Powers,8
Ram Dass/Richard Alpert,8
Neal Stephenson,8
Zadie Smith,8
L.M. Montgomery,8
Blake Nelson,7
David Baldacci,7
Joanne Harris,7
Garry Wills,7
Dante Alighieri/Mark Musa,7
Beatrix Potter,7
Terry Eagleton,7
Victoria Alexander,7
Alain de Botton,7
Albert Camus,7
Fred Saberhagen,7
Louis Sachar,7
Madeleine L'Engle,7
Bill Watterson,7
Scott Westerfeld,7
Takashi Hashiguchi,7
Janny Wurts,7
Patrick Robinson,7
Leon Uris,7
Tess Gerritsen,7
Roddy Doyle,7
Harlan Coben,7
C.S. Friedman,7
John Piper,7
Charles Bukowski,7
Douglas Preston/Lincoln Child,7
Joe Haldeman,7
William Manchester,7
Hirohiko Araki/Hirohiko Araki,7
John Sandford,7
Jasper Fforde,7
William S. Burroughs,7
William Shakespeare/Roma Gill,7
Anthony Burgess,7
H.G. Wells,7
Laura Ingalls Wilder/Garth Williams,7
Vladimir Nabokov,7
Jimmy Carter,7
Susan Howatch,7
Richard  Adams,7
Kelley Armstrong,7
M.M. Kaye,7
Jonathan Lethem,7
Ayn Rand,7
Robert Jordan,7
William Shakespeare/Barbara A. Mowat/Paul Werstine,7
Ha Jin,7
CLAMP,7
Jonathan Franzen,7
Fyodor Dostoyevsky/Richard Pevear/Larissa Volokhonsky,7
Cormac McCarthy,7
Alice Hoffman,7
Arthur Golden,7
Gabriel García Márquez/Gregory Rabassa,7
Noel Streatfeild,7
Nick Hornby,7
Scott Turow,7
Tim O'Brien,7
Isabel Allende/Margaret Sayers Peden,7
Pearl S. Buck,7
Raymond Chandler,7
Minette Walters,6
J.K. Rowling/Mary GrandPré,6
Gary Paulsen,6
Sue Monk Kidd,6
Karin Slaughter,6
Jo Clayton,6
Dennis Lehane,6
Stephen R. Donaldson,6
Herman Melville,6
Henry Miller,6
Jayne Ann Krentz,6
Annie Dillard,6
Gore Vidal,6
Megan McDonald/Peter H. Reynolds,6
Caroline B. Cooney,6
Debbie Dadey/Marcia Thornton Jones/John Steven Gurney,6
Erica Jong,6
Michael   Lewis,6
David Eddings,6
Sarah Mlynowski,6
Laura Ingalls Wilder/Renée Graef,6
Clive Cussler/Paul Kemprecos,6
Connie Willis,6
James Ellroy,6
Elizabeth Gilbert,6
Bret Easton Ellis,6
Angela Knight,6
Max Allan Collins,6
Daniel C. Dennett,6
Eudora Welty,6
Kim Harrison,6
Simon Schama,6
Elizabeth George,6
Peter S. Beagle,6
Shirley Rousseau Murphy,6
Noam Chomsky,6
David Levithan,6
Laurie Notaro,6
Amy Tan,6
Kathryn Lasky,6
Iris Murdoch,6
Greg Iles,6
Jonathan Safran Foer,6
Joseph Heller,6
Dale Carnegie,6
Kate Atkinson,6
James Clavell,6
Haruki Murakami/Philip Gabriel,6
Jack Du Brul,6
Tracy Chevalier,6
Ken Follett,6
William Gibson,6
Thomas Sowell,6
Kazuo Umezu,6
Jeff Shaara,6
Mark Haddon,6
Diana Wynne Jones,6
Kazuo Ishiguro,6
John Updike,6
Mark Kurlansky,6
Margaret Atwood,6
Umberto Eco,6
Anaïs Nin,6
Oscar Wilde,6
Junji Ito/伊藤潤二,6
Barbara Kingsolver,6
Catherine Coulter,6
Patricia A. McKillip,6
Mario Puzo,5
Roger Hargreaves,5
Peter F. Hamilton,5
NOT A BOOK,5
Edward P. Jones,5
Robin Hobb,5
Jonathan Carroll,5
Cecily von Ziegesar,5
Maud Hart Lovelace/Vera Neville,5
Lois Lowry,5
Harold Bloom,5
Lawrence Sanders,5
Terry Goodkind,5
Georges Simenon,5
Jacqueline Carey,5
Irvin D. Yalom,5
Charles Stross,5
Seamus Heaney,5
Craig Thompson,5
Mitch Albom,5
Simon Winchester,5
E.M. Forster,5
Jim Lehrer,5
Julian May,5
Rick Riordan,5
Elizabeth Peters,5
Tom Perrotta,5
P.J. Parrish,5
Rick Moody,5
Friedrich Nietzsche,5
Agatha Christie/Hugh Fraser,5
Patrick Süskind,5
Denis Johnson,5
David Foster Wallace,5
Richard Rhodes,5
Yuki Shimizu,5
Time-Life Books,5
Graham Masterton,5
Hideyuki Kikuchi/Yoshitaka Amano,5
Teresa Edgerton,5
bell hooks,5
Milan Kundera/Linda Asher,5
Erle Stanley Gardner,5
J.D. Salinger,5
Brian Herbert/Kevin J. Anderson,5
Thomas  Harris,5
Irvine Welsh,5
Edgar Allan Poe,5
Euripides/David Kovacs,5
Simon Goldhill,5
Aristophanes/Jeffrey Henderson,5
Maya Angelou,5
C.S. Lewis/Pauline Baynes,5
Anaïs Nin/Gunther Stuhlmann,5
Anthony Bourdain,5
Susan Conant,5
Chaim Potok,5
Stephen R. Covey,5
Arthur Koestler,5
Richard Matheson,5
Hiromu Arakawa,5
Juan Rulfo,5
Karen  O'Connor/Larry J. Sabato,5
Amelia Atwater-Rhodes,5
Charles Burns,5
J.M. Coetzee,5
Robert D. Kaplan,5
Peggy Parish/Lynn Sweat,5
Anita Shreve,5
Lawrence Durrell,5
James Redfield,5
Daisy Meadows/Georgie Ripper,5
Stephen Hawking,5
William T. Vollmann,5
Nathaniel Hawthorne,5
Anna Maxted,5
William Golding,5
John Barth,5
Chuck Klosterman,5
Carolyn Meyer,5
Yumi Hotta/Takeshi Obata,5
Karen Kingsbury/Gary Smalley,5
Todd Gitlin,5
Debra Hess,5
Bryce Courtenay,5
Louisa May Alcott,5
Chris Ware,5
C.S. Lewis/Pauline Baynes/Ana Falcão Bastos,5
Hunter S. Thompson,4
Victoria Holt,4
Emily Giffin,4
Michael Connelly/Dick Hill,4
Robert B. Parker/Joe Mantegna,4
Madeleine Brent,4
Steven Pressfield,4
Ron Rash,4
Charlie Huston,4
Oscar Hijuelos,4
Rudyard Kipling,4
Wilbur Smith,4
Paul Bowles,4
Mary Higgins Clark/Carol Higgins Clark,4
Edmund S. Morgan,4
Eric Hobsbawm,4
Jack London,4
Maud Hart Lovelace/Lois Lenski,4
Tom Wolfe,4
Elizabeth Lowell,4
Ken Kesey,4
Haruki Murakami/Jay Rubin,4
Norman Mailer,4
E.L. Doctorow,4
Michael Chabon,4
Marguerite Duras,4
James Scott Bell,4
Paulo Coelho/Alan R. Clarke,4
Jeff Rovin/Tom Clancy/Steve Pieczenik,4
Clive Cussler/Craig Dirgo,4
Tananarive Due,4
Frank E. Peretti,4
Erik Larson,4
David R. Hawkins,4
Peter Straub,4
James   McBride,4
S.E. Hinton,4
Jules Verne,4
Marsha Collier,4
James Patterson/Andrew Gross,4
Isak Dinesen/Karen Blixen,4
V.S. Naipaul,4
Simone de Beauvoir,4
Gregory Maguire/Elaine Clayton,4
Ayn Rand/Leonard Peikoff,4
Eva Brann,4
Marcel Proust/C.K. Scott Moncrieff/Terence Kilmartin/D.J. Enright,4
Linda Lael Miller,4
Jean-Paul Sartre,4
Annie Proulx,4
Michael Craft,4
Joseph J. Ellis,4
Malcolm Gladwell,4
Oh! Great/大暮 維人,4
Julian Barnes,4
George Orwell,4
Donald Spoto,4
Eiji Nonaka/Brendan Frayne,4
A.N. Roquelaure/Anne Rice,4
Augusten Burroughs,4
Lee Charles Kelley,4
Ronda Thompson,4
Gene Wolfe,4
Russell Banks,4
Chinua Achebe,4
Mark Twain,4
Daniel Goleman,4
Megan Whalen Turner,4
Elizabeth  George,4
Knut Hamsun/Sverre Lyngstad,4
Hermann Hesse,4
Cait London,4
J.R. Ward,4
Francine Prose,4
Henning Mankell/Laurie Thompson,4
Antonia Fraser,4
D.H. Lawrence,4
Sebastian Faulks,4
John Julius Norwich,4
Lorna Landvik,4
Robert McCloskey,4
Iain Pears,4
Kevin Henkes,4
Anthony Powell,4
Joseph Conrad,4
Howard Zinn,4
Jerome K. Jerome,4
Barry  Lopez,4
Ricardo Piglia,4
Anne Lamott,4
James Axler,4
Chie Shinohara,4
Yayoi Ogawa,4
Al Ries/Jack Trout,4
Haven Kimmel,4
Trudi Canavan,4
Marshall Sahlins,4
Virginia Woolf,4
Umberto Eco/William Weaver,4
Henry Chadwick,4
Wallace Stegner,4
Nicholson Baker,4
Rebecca Solnit,4
Jared Diamond,4
Michael Moorcock,4
Jayne Castle/Jayne Ann Krentz,4
Syd Hoff,4
Susan Hill,4
Joan Aiken,4
Anne McCaffrey,4
Shana Abe,4
Trevanian,4
José Saramago/Pilar del Río,4
Jack Kerouac,4
Barbara Nadel,4
Warren Ellis/Darick Robertson/Rodney Ramos,4
Stephen W. Frey,4
Arthur Conan Doyle,4
Stephen E. Ambrose,4
Colm Tóibín,4
Richard Dawkins,4
Roger Hargreaves/Gray Jolliffe,4
Emma Holly,4
Graham Greene,4
Gabriel García Márquez/Edith Grossman,4
Lee Child,3
Roger Hargreaves/Adam Hargreaves,3
Brian Jacques,3
Laura Ingalls Wilder/Stephen W. Hines,3
Eleanor Estes/Edward Ardizzone,3
Harold G. Moore/Joseph L. Galloway,3
Stephen Hunter/Beau Bridges,3
Robert M. Sapolsky,3
Fern Michaels,3
John Gray,3
Heidi Hayes Jacobs,3
Alister E. McGrath,3
Grant Morrison/Frank Quitely,3
Ann Patchett,3
Eric Schlosser,3
Steve Turner,3
Lois Lenski,3
James Patterson/Peter de Jonge,3
Sidney Sheldon,3
Melissa de la Cruz,3
Plato/Benjamin Jowett,3
Emmanuel Le Roy Ladurie/Barbara Bray,3
Mercedes Lackey/Rosemary Edghill,3
Jane Hamilton,3
Edwidge Danticat,3
Mayu Shinjō,3
Hinako Takanaga,3
Daniel Clowes,3
Rachel Ryan/Sandra Brown,3
Youka Nitta,3
Jack Kerouac/Ann Charters,3
Kahlil Gibran,3
Henri J.M. Nouwen,3
Andrea Camilleri/Stephen Sartarelli,3
Evelyn Waugh,3
Stanisław Lem/Michael Kandel,3
Junichi Satō/Kaori Naruse,3
Chiho Saito,3
Rick Bass,3
Susan Cooper,3
