publisher,count
Vintage,318
Penguin Books,261
Penguin Classics,184
Mariner Books,150
Ballantine Books,144
Harper Perennial,112
HarperCollins,112
Pocket Books,111
Bantam,110
VIZ Media LLC,88
Berkley,86
Dover Publications,85
Modern Library,82
Del Rey,80
Tor Books,76
Grand Central Publishing,76
Oxford University Press  USA,75
Scribner,73
Oxford University Press,73
W. W. Norton  Company,68
Signet,66
Cambridge University Press,66
Simon  Schuster,65
Anchor,62
William Morrow Paperbacks,58
Penguin,58
Scholastic Paperbacks,56
Avon,56
Library of America,52
Puffin Books,50
Broadway Books,49
HarperTorch,48
Bantam Books,48
HarperCollins Publishers,48
Harry N. Abrams,45
Simon & Schuster,44
St. Martin's Press,44
St. Martin's Griffin,43
W. W. Norton & Company,43
Basic Books,43
Berkley Books,43
University of Chicago Press,42
Vertigo,42
Farrar  Straus and Giroux,41
DAW,41
Harper,40
G.P. Putnam's Sons,40
Anchor Books,40
Picador,40
Back Bay Books,40
Houghton Mifflin Harcourt,39
Cliffs Notes,39
Grove Press,39
Everyman's Library,39
Random House Books for Young Readers,38
Harvard University Press,38
Washington Square Press,37
St. Martin's Paperbacks,37
Plume,36
HarperOne,35
Ace,35
Random House Audio,33
Routledge,33
Del Rey Books,33
Princeton University Press,33
Scholastic,33
Barnes  Noble Classics,32
HMH Books for Young Readers,31
Alfred A. Knopf,31
DC Comics,31
Hackett Publishing Company  Inc.,31
Penguin Books Ltd,30
Delta,30
Random House,30
Wizards of the Coast,29
Free Press,28
Yearling,28
Picador USA,28
William Morrow,28
Arrow,28
University of California Press,26
Turtleback Books,26
Harper Perennial Modern Classics,26
Riverhead Books,26
Dell,25
Yale University Press,25
Warner Books,25
Atria Books,24
Ace Books,24
Leisure Books,23
Vintage Classics,23
Signet Classics,23
Random House Trade Paperbacks,23
Little  Brown and Company,23
Wiley,22
Hachette Books,22
Candlewick Press,22
Spectra,22
Tyndale House Publishers,22
New Directions,21
Warner Books (NY),21
Marvel,21
NAL,21
Prentice Hall,21
Puffin,21
Da Capo Press,21
Thomas Nelson,21
Brilliance Audio,21
Little  Brown Books for Young Readers,21
Avon Books,20
Viz Media,20
Harper Voyager,20
Fawcett,20
Tor Fantasy,20
Touchstone,20
Jove,19
TokyoPop,19
HarperTrophy,19
Bloomsbury Academic,19
Aladdin,19
Ecco,19
Houghton Mifflin,19
Random House Value Publishing,18
Dark Horse Books,18
Delacorte Press,18
Vintage International,18
Corgi,18
Debolsillo,18
Pocket,17
Doubleday Books,17
Orb Books,17
Greenwillow Books,16
W.W. Norton & Company,16
Gallery Books,16
Firebird,16
Gallimard,16
小学館,15
Simon Pulse,15
Faber & Faber,15
Kensington,15
Knopf Publishing Group,15
Sterling,15
Vintage Crime/Black Lizard,15
Orion,15
Verso,15
Shambhala,14
Plaza y Janes,14
Random House Trade,14
University Press of Mississippi,14
Bloomsbury Publishing PLC,14
Baen,14
Pantheon,14
Chronicle Books,14
Berkley Sensation,14
Columbia University Press,14
NYRB Classics,14
VIZ Media,14
Headline,14
Pearson,14
Disney Press,14
Daw Books,13
Dell Publishing Company,13
Vintage Books,13
Faber and Faber,13
Citadel,13
Andrews McMeel Publishing,13
Little  Brown Book Group,13
Dial Press,13
Vision,13
Knopf,13
Schocken,13
Planeta Publishing,13
Viking Books,13
Plume Books,13
Little Brown and Company,13
Zondervan,13
Gramercy Books,13
Scholastic Inc.,13
Harmony,12
Pocket Star,12
Pantheon Books,12
Doubleday,12
集英社,12
McSweeney's,12
Chaosium,12
Open Court,12
Dial Press Trade Paperback,12
Black Swan,12
The New Press,12
Mira Books,11
Spectra Books,11
Bantam Classics,11
Random House Audio Publishing Group,11
Kessinger Publishing,11
Headline Review,11
Bloomsbury,11
Harcourt,11
Berkley Trade,11
Harvest House Publishers,11
SparkNotes,11
Running Press,11
Fawcett Books,11
Blackstone Audiobooks,11
Aladdin Paperbacks,11
Three Rivers Press,10
Farrar Straus Giroux,10
Beacon Press,10
Minotaur Books,10
Bethany House Publishers,10
Amistad,10
Onyx,10
Zebra,10
HarperTeen,10
Vintage Books USA,10
Simon & Schuster Audio,10
Grosset & Dunlap,10
Faber  Faber,10
Wings,10
Viking,10
ADV Manga,10
Luna Books,10
Time Life Medical,10
DK Children,10
Black Dog & Leventhal Publishers,10
Digital Manga Publishing,10
Dark Horse Manga,10
O'Reilly Media,10
Crossway Books,10
J'ai Lu,10
Severn House Publishers,10
Laurel Leaf Library,9
Little  Brown & Company,9
iBooks,9
Orbit,9
Ediciones B,9
BBC Audiobooks,9
Wordsworth Editions,9
Bloomsbury Arden Shakespeare,9
Univ Of Minnesota Press,9
Ignatius Press,9
Simon  Schuster Audio,9
Disney-Hyperion,9
Yearling Books,9
Love Spell,9
St. Martins Press-3PL,9
Glénat,9
Scholastic  Inc.,9
AudioGO,9
Punto de Lectura,9
For Dummies,9
MIRA,9
Signet Book,9
Harper Business,9
Bantam Spectra,8
HarperAudio,8
Ivy Books,8
University Of Chicago Press,8
Heyne,8
Dalkey Archive Press,8
Putnam Adult,8
Goldmann,8
University of Oklahoma Press,8
J'ai lu,8
John Wiley & Sons,8
Harper Paperbacks,8
Roc,8
BradyGames,8
MIT Press,8
Scribner Book Company,8
東立,8
Houghton Mifflin Company,8
Le Livre de Poche,8
Clarion Books,8
