publication_year,avg_rating
1900,3.88
1913,3.96
1914,3.95
1919,4.32
1921,4.14
1922,5.0
1923,4.29
1925,3.955
1928,4.34
1929,4.02
1931,2.75
1935,3.63
1940,3.97
1943,4.21
1947,4.06
1948,3.55
1949,3.796666666666667
1950,4.045
1952,3.9050000000000002
1953,3.9799999999999995
1954,3.925
1955,4.140000000000001
1956,3.9233333333333333
1957,4.03
1958,3.98
1959,3.9659999999999997
1960,3.9899999999999998
1961,4.078
1962,4.013333333333333
1963,4.015555555555555
1964,3.813529411764706
1965,3.876666666666667
1966,4.065
1967,4.023333333333333
1968,3.9866666666666664
1969,4.048181818181818
1970,3.983076923076923
1971,4.033636363636364
1972,3.8778571428571427
1973,3.966875
1974,4.0275
1975,4.0325
1976,3.8651612903225803
1977,3.8888571428571423
1978,3.9379166666666667
1979,3.9575
1980,3.9769230769230766
1981,3.8748387096774195
1982,3.9986363636363635
1983,3.883611111111111
1984,4.014657534246576
1985,3.966290322580645
1986,3.971805555555556
1987,3.9045454545454548
1988,3.923116883116883
1989,3.932542372881356
1990,4.022820512820513
1991,4.009602649006623
1992,3.9668306010928958
1993,3.972181818181818
1994,3.936318181818182
1995,3.955301204819277
1996,3.94276
1997,3.9146206896551723
1998,3.9265656565656566
1999,3.9054545454545453
2000,3.921932457786116
2001,3.9439024390243897
2002,3.936416040100251
2003,3.928077336197637
2004,3.9500840336134453
2005,3.925277777777778
2006,3.9140058823529413
2007,3.914864864864865
2008,3.976326530612245
2009,3.9457142857142857
2010,3.994864864864865
2011,3.7754166666666666
2012,3.9257142857142857
2013,4.066666666666666
2014,4.015555555555555
2015,3.936
2016,3.9033333333333338
2017,3.867142857142857
2018,4.014
2019,3.9183333333333334
2020,3.91
