publication_year,avg_ratings_count
1900,332.0
1913,111.0
1914,87.0
1919,208.0
1921,29.5
1922,0.0
1923,35.0
1925,84.0
1928,110.0
1929,98.0
1931,4.0
1935,15.0
1940,365.0
1943,70.0
1947,4560.0
1948,733.0
1949,410.0
1950,1252.0
1952,117630.5
1953,3012.0
1954,740.0
1955,2381.25
1956,438.6666666666667
1957,2305.3333333333335
1958,969.25
1959,4199.8
1960,190.66666666666666
1961,1217.0
1962,5404.666666666667
1963,853.0
1964,1263.0
1965,627.4444444444445
1966,2067.25
1967,139.0
1968,221.5
1969,1777.5454545454545
1970,1530.076923076923
1971,2939.181818181818
1972,1529.2142857142858
1973,349.75
1974,944.25
1975,1880.9375
1976,1357.6451612903227
1977,2225.3142857142857
1978,884.0833333333334
1979,1796.3125
1980,24938.69230769231
1981,920.3870967741935
1982,9694.34090909091
1983,2314.4166666666665
1984,3976.6849315068494
1985,2108.8870967741937
1986,11525.722222222223
1987,7017.75
1988,11024.753246753247
1989,5434.025423728814
1990,6028.461538461538
1991,8256.165562913908
1992,4468.781420765027
1993,10826.557575757575
1994,6877.8
1995,4832.895582329317
1996,8114.78
1997,7371.834482758621
1998,14635.267676767677
1999,15403.015521064302
2000,11601.46904315197
2001,13905.181402439024
2002,17581.398496240603
2003,21187.224489795917
2004,18413.79365079365
2005,16457.82222222222
2006,18018.36705882353
2007,13796.608108108108
2008,8385.632653061224
2009,18919.35714285714
2010,33891.21621621621
2011,4465.208333333333
2012,18808.761904761905
2013,41128.0
2014,16579.666666666668
2015,1848.5
2016,3181.3333333333335
2017,805.5714285714286
2018,914.4
2019,16120.666666666666
2020,35275.0
