publication_year,book_count
1900,1
1913,1
1914,1
1919,1
1921,2
1922,1
1923,1
1925,2
1928,1
1929,1
1931,1
1935,1
1940,1
1943,1
1947,1
1948,1
1949,3
1950,2
1952,2
1953,2
1954,4
1955,4
1956,3
1957,3
1958,4
1959,5
1960,6
1961,5
1962,3
1963,9
1964,17
1965,9
1966,4
1967,3
1968,6
1969,11
1970,13
1971,11
1972,14
1973,16
1974,12
1975,16
1976,31
1977,35
1978,24
1979,32
1980,26
1981,31
1982,44
1983,36
1984,73
1985,62
1986,72
1987,88
1988,77
1989,118
1990,117
1991,151
1992,183
1993,165
1994,220
1995,249
1996,250
1997,290
1998,396
1999,451
2000,533
2001,656
2002,798
2003,931
2004,1071
2005,1260
2006,1700
2007,518
2008,49
2009,42
2010,37
2011,24
2012,21
2013,15
2014,9
2015,10
2016,6
2017,7
2018,5
2019,6
2020,1
