bookID,title,authors,num_pages
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,870
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,2690
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,3342
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,815
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,815
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,815
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,1728
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,1184
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,1216
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,832
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,864
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,873
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,838
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,960
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,837
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,803
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,803
264,The Portrait of a Lady,Henry James/Patricia Crick,797
399,Underworld,Don DeLillo,827
409,Against the Day,Thomas Pynchon,1085
412,Gravity's Rainbow,Thomas Pynchon,784
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,773
415,Gravity's Rainbow,Thomas Pynchon,776
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,1122
466,Timbuktu / Leviathan / Moon Palace,Paul Auster,1075
