bookID,title,authors,num_pages
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,2690
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,3342
3579,The Complete Anne of Green Gables Boxed Set (Anne of Green Gables  #1-8),L.M. Montgomery,2088
20749,Study Bible: NIV,Anonymous,2198
23589,The J.R.R. Tolkien Companion and Guide,Christina Scull/Wayne G. Hammond,2264
24520,The Complete Aubrey/Maturin Novels (5 Volumes),Patrick O'Brian,6576
25587,The Second World War,Winston S. Churchill/John Keegan,4736
25709,Summa Theologica  5 Vols,Thomas Aquinas,3020
30258,Harrison's Principles of Internal Medicine,Dennis L. Kasper/Dan L. Longo/Stephen L. Hauser/Anthony S. Fauci/Eugene Braunwald,2751
40012,Goodman & Gilman's the Pharmacological Basis of Therapeutics,Laurence L. Brunton/John S. Lazo/Keith  L. Parker,2021
43888,The Sword of Truth  Boxed Set I: Wizard's First Rule  Blood of the Fold  Stone of Tears (Sword of Truth  #1-3),Terry Goodkind,2480
44613,Remembrance of Things Past (Boxed Set),Marcel Proust/C.K. Scott Moncrieff/Frederick A. Blossom/Joseph Wood Crutch,3400
