bookID,title,authors,num_pages
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,6
524,Lord of the Flies,William Golding,6
955,The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,0
1053,The Richest Man in Babylon,George S. Clason,4
1090,Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,5
1281,Men Are from Mars  Women Are from Venus,John Gray,2
2059,The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,2
2166,The Old Man and the Sea,Ernest Hemingway/Donald Sutherland,3
2326,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams,6
2389,Moby Dick,Herman Melville/William Hootkins,6
2835,The Tragedy of Pudd'nhead Wilson,Mark Twain/Michael Prichard,0
3574,Anne of Avonlea,L.M. Montgomery/Susan O'Malley,8
3585,Sherlock Holmes: A Baker Street Dozen,Arthur Conan Doyle/John Gielgud/Ralph Richardson/Orson Welles,6
3593,Murder by Moonlight & Other Mysteries (New Adventures of Sherlock Holmes 19-24),NOT A BOOK,0
3599,The Unfortunate Tobacconist & Other Mysteries (Sherlock Holmes 1-6),NOT A BOOK,0
3875,The Sun Also Rises,Ernest Hemingway/William Hurt,8
4249,The Da Vinci Code (Robert Langdon  #2),Dan Brown/Paul Michael,0
4382,Fahrenheit 451,Ray Bradbury/Christopher Hurt,5
4651,The Ernest Hemingway Audio Collection,Ernest Hemingway/Charlton Heston,4
4674,The Great Gatsby,F. Scott Fitzgerald/Tim Robbins,6
4675,The Great Gatsby,F. Scott Fitzgerald/Alexander Scourby,4
5065,Whiteout,Ken Follett/David Tennant,4
5362,The Summons / The Brethren,John Grisham/Michael Beck/Frank  Muller,0
5545,The Feynman Lectures on Physics  3 Vols,Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,3
6542,The Patricia Cornwell CD Audio Treasury: All That Remains / Cruel & Unusual (Kay Scarpetta  #3  #4),Patricia Cornwell/Kate Burton,0
