title,text_reviews_count
Twilight (Twilight  #1),94265
The Book Thief,86881
The Giver (The Giver  #1),56604
The Alchemist,55843
Water for Elephants,52759
The Lightning Thief (Percy Jackson and the Olympians  #1),47951
Eat  Pray  Love,47620
The Glass Castle,46176
The Catcher in the Rye,43499
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),36325
The Da Vinci Code (Robert Langdon  #2),35877
The Curious Incident of the Dog in the Night-Time,35537
Harry Potter and the Chamber of Secrets (Harry Potter  #2),34692
Outlander (Outlander  #1),34690
The Road,34301
The Hobbit  or There and Back Again,32871
Animal Farm,29677
My Sister's Keeper,29652
Harry Potter and the Order of the Phoenix (Harry Potter  #5),29221
Jane Eyre,27884
