publisher,median_ratings_count_capped,book_count
HarperPerennial / Perennial Classics,597244.0,1
Arthur A. Levine Books / Scholastic Inc.,597244.0,1
Random House Large Print Publishing,597244.0,1
Children's Classics,597244.0,1
Random House: Modern Library,597244.0,1
New English Library (Hodder & Stoughton),597244.0,1
William Morrow; 1ST edition,414947.0,1
Norton,353663.0,2
Harpercollins Childrens Books,349247.0,1
Harvest Books,337596.0,1
Disney Hyperion Books,303897.5,2
Simon & Schuster Paperbacks,282649.0,1
Atheneum Books for Young Readers: Richard Jackson Books,270244.0,1
Penguin Group (USA),259511.0,3
Henry Holt and Co.,213538.0,1
Simon & Schuster Simon Pulse,211060.0,1
W.W. Norton & Company (NYC),209627.5,2
Penguin Signet,207869.0,1
Howard Publishing Co,200744.0,1
Houghton Mifflin Co. (Boston/NY),197099.0,1
Deodand,196377.0,1
Dante University of America Press,194545.0,1
Rupa & Co,184293.0,1
Ecco/Harper Perennial,183882.0,1
Doubleday & Company  Inc.,183869.0,1
Virago Press (UK),179639.0,1
LGF,178403.0,1
Owl Books (Henry Holt),168362.0,1
Ace Book,164740.0,1
Green Integer,160603.5,2
Tom Doherty Tor Fantasy,148074.0,1
Sarah Crichton Books,147820.0,1
Prestwick House - (Literary Touchstone Classic),141555.0,1
William Morrow / HarperCollins / Harper Perennial,135109.0,1
Fourth Estate Paperbacks,133237.0,1
Arthur A. Levine Books,129704.0,2
Alfred A. Knopf Borzoi Books,110898.0,1
See Sharp Press,110423.0,1
New English Library,110131.0,3
Allen & Ulwin,108646.0,1
Turtleback,108194.0,2
Vintage Crime,103400.0,1
Simon Schuster,100234.5,4
Starfire,98611.0,1
New Millennium Library,91539.0,1
The Chicken House,91475.0,1
Island,89014.0,1
Farrar  Straus and Giroux (NY),87570.0,1
Bantam Books  Inc.,85927.0,1
City Lights,85143.0,1
NAL Jam,83997.0,1
Harper Trophy,83190.5,2
Simon & Schuster; Media Tie-In edition,82525.0,1
Bloomsbury Childrens Books,81090.0,1
Dell Publishing Company,76205.0,13
Delta Publishing,75494.0,1
Penguin Books /Penguin Classics,73757.0,1
Gallery / Saga Press,73161.0,1
Hartorch,72785.0,1
Wyatt Book,65013.0,1
La factoría de ideas,63422.0,1
Delacorte Books,62199.0,1
Ember,61435.0,5
Pocket Books / Simon & Schuster  Inc.,61330.0,1
Penguin (Business),60946.0,1
Berkley Hardcover,60937.0,3
Noonday Press,60656.0,1
Perfection Learning,60431.0,2
Shadow Mountain,59533.5,2
Seuil,59077.0,1
Smithmark Publishers,58827.0,2
Tanglewood,57737.0,1
Penguin Books Ltd. (London),52522.0,1
TIme Warner Books,52093.0,1
Victor Gollancz,51343.0,1
Arrow Books Ltd,50816.0,1
Ace Hardcover,50427.0,1
Random House Vintage,50103.0,1
Millenium,49260.5,2
Simon Pulse,46937.0,15
HarperPrism,46139.0,1
Pan Childrens,45863.0,1
Top Shelf Productions,45287.0,2
No Exit Press,44664.0,5
Warners Visions Books,41611.0,1
Square Fish,41429.0,6
Pearson Longman,41041.0,1
Riverhead Hardcover,40825.5,2
Dell Laurel-Leaf,38411.0,1
BALLANTINE BOOKS,37996.0,1
Harpercollins Children's Books,37851.0,1
Penguin Classics Deluxe Editions,37620.0,1
Perennial / William Morrow / HarperCollins,37206.0,1
Bantam Doubleday Dell (NYC),36446.0,1
Anchor Books/Knopf Doubleday Publishing Group,35998.0,1
Devil's Due Publishing,35536.0,1
Virago,35347.5,2
Black Dog & Leventhal Publishers,34764.5,10
Griffin,34366.0,3
Bantem Press,33678.0,1
Random House Anchor,33028.0,1
Seal,32446.0,1
Little  Brown and Company,31711.0,23
Dial Press,31084.0,13
HarperCollins Perennial,30872.0,1
Harcourt  Inc.(Harvest Book),30358.0,1
House of Stratus,28414.0,1
Ballantine Books (NY),28242.0,2
Simon & Schuster Aladddin Paperbacks,28120.0,1
Regan Books,28014.0,1
Orbit,26985.0,9
Hackett Publishing Company,26252.0,1
Health Communications Inc,26090.0,2
Grand Central,26040.0,1
Corgi Childrens,25875.5,2
Penguin Books (NYC),24290.0,1
Harcourt Brace,24017.0,2
Image Comics,23615.5,4
Portfolio,22375.0,1
Berkley Heat,22055.0,1
Presidio Press,21876.0,1
Nelson Books,21811.0,2
Shambhala Publications,21673.0,1
Arlington House,21524.0,1
Lama Foundation (San Cristobal  NM),20343.0,1
Purple House Press,20235.0,1
Random House Trade Paperbacks,20145.0,23
Vintage Contemporaries,20087.5,4
HJ Kramer,20051.5,2
Bantam Spectra (NY),20051.0,1
DAW Fantasy,20025.0,1
Plume (Penguin Books Ltd),19927.0,1
Modern Library Classics,19855.0,2
Transworld Publishers Ltd,19790.0,1
Stonewall Inn Editions,19747.0,1
Harper Perennial Classics,19668.0,1
Dodd Mead; 1st edition (September 1976),19657.0,1
Liveright/W.W. Norton & Company  Inc.,19542.0,1
BantamSpectra,19537.0,1
HarperTempest,19363.0,3
Albury Publishing,19217.0,1
Plaza & Janés,19205.0,1
Titan Books,19193.0,2
Alan Rodgers Books,19091.0,1
Penguin Classics Deluxe Edition,18874.0,1
Dial Books,18663.5,2
DAW Books Inc,18141.0,5
Black Dog & Leventhal,18108.0,2
Legend,17911.0,1
Poppy,17856.5,2
HQN Books,17677.0,1
The Orion Publishing Group Ltd,17624.0,1
Taplinger Publishing,17485.0,1
Aegypan,17325.0,1
Harper Teen,17135.0,1
Pocket Books/Simon & Schuster (NY),17025.0,1
Hyperion Books,17024.0,4
Contemporary Books,16662.0,1
HarperTorch (an imprint of HarperCollins Publishers),16483.0,1
Laurel Leaf Books,16434.0,1
HarperLargePrint,16324.0,1
Dutton,16034.0,6
Distribooks,15886.0,1
Headline Feature,15666.0,1
Vision,15509.0,13
Grove Press (NYC),15468.0,1
Night Shade Books,15363.0,1
Thomas Dunne Books,15191.0,1
Contemporary French Fiction,15174.0,1
Berkley Books,14812.0,43
Peter Smith Publisher,14739.0,1
