publisher,language_code,average_rating,p75_ratings_count,book_count
Square One Publishers,eng,5.0,5.0,1
Vantage Press,eng,5.0,4.0,1
Chartwell Books,eng,5.0,2.0,1
Courage Books,eng,5.0,2.0,1
Academica Press,eng,5.0,1.0,1
Boosey & Hawkes Inc,eng,5.0,1.0,1
Schirmer Mosel,eng,5.0,1.0,1
T&T Clark Int'l,eng,5.0,1.0,1
University Press of New England,eng,5.0,1.0,1
Y Lolfa,wel,5.0,1.0,1
Oxford University Press  USA,grc,5.0,0.0,1
Raintree,eng,5.0,0.0,1
Texas A&M University Press,eng,5.0,0.0,1
Lulu.com,eng,4.91,11.0,1
Welcome Books,en-US,4.88,8.0,1
Teacher's Pet Publications,eng,4.86,5.0,1
Universe Publishing(NY),eng,4.83,6.0,1
F. Meiner,ger,4.78,0.0,1
Skinner House Books,eng,4.75,8.0,1
Steidl,eng,4.73,144.0,1
Phaidon Press,en-GB,4.72,102.0,1
Four Ninety-Eight Productions,eng,4.72,29.0,1
Zondervan Publishing House,eng,4.7,4166.0,1
Boston Common Press,eng,4.69,26.0,1
Harrison House,eng,4.67,9.0,1
Servant Publications,eng,4.67,6.0,1
Multnomah,eng,4.65,15.5,2
Time Warner Books UK,eng,4.63,303.0,1
Western Publishing Company  Golden Books,eng,4.62,23.0,1
Pearson Education,eng,4.62,17.0,1
Library of America (NY),eng,4.61,1495.0,1
Veritas Publishing,en-US,4.61,186.0,1
Addison Wesley Publishing Company,en-US,4.6,78.0,1
Fellowship for the Performance,eng,4.6,28.0,1
Collins Modern Classics,eng,4.59,141.0,1
Island Press,eng,4.59,16.0,1
Penguin Classics Deluxe Edition,eng,4.58,18874.0,1
Longmeadow Press,en-US,4.58,433.0,1
Rufus Publications,eng,4.58,38.0,1
Readers Digest,eng,4.58,12.0,1
Barbour Books,eng,4.58,8.0,1
Loeb Classical Library 307,grc,4.57,14.0,1
皇冠文化出版有限公司,zho,4.5649999999999995,87.0,2
Bloomsbury UK,eng,4.56,3141.0,1
Dhv der Hörverlag,ger,4.56,313.0,1
Black Classic Press,eng,4.56,157.0,3
東立,zho,4.55625,5.25,8
Russell Enterprises,eng,4.55,161.0,1
ガンガンコミックス,jpn,4.548,22.0,5
Twin Palms Publishers,eng,4.54,58.0,1
CRC Press,en-US,4.53,15.0,1
Harvest House Publishers,en-GB,4.53,14.0,1
Loeb Classical Library 443,eng,4.52,27.0,1
Abdo Publishing Company,en-US,4.51,33.0,1
Canadian Broadcasting Corporation (CBC Audio),eng,4.505,58.5,2
Arden Shakespeare,eng,4.5,122.0,1
St. Augustines Press,eng,4.5,26.0,1
A K PETERS,eng,4.5,17.0,1
Collection of Historical Scientific Instruments,eng,4.5,10.0,1
University of California Press,en-GB,4.5,10.0,1
Aris and Phillips,grc,4.5,4.0,1
Booklocker.com  Inc.,eng,4.5,2.0,1
Bryn Mawr Commentaries,eng,4.5,2.0,1
Lone Oak Press,eng,4.5,2.0,1
Michael Joseph Ltd./Penguin Books Ltd.,eng,4.5,1.0,1
Crossing Press,en-GB,4.49,12105.0,1
Emece Editores,spa,4.49,5637.0,1
FaithWords,eng,4.49,718.0,1
Liguori Publications,eng,4.49,29.0,1
VIZ Media,eng,4.480769230769231,1776.0,13
Ignatius Press,en-US,4.48,585.25,2
Peerage Books,eng,4.48,293.0,1
Hakusen Sha,jpn,4.48,19.0,1
Hal Leonard Publishing Corporation,eng,4.475,52.0,2
Triple Crown Publications,eng,4.47,499.0,1
Bloomsbury,lat,4.47,195.0,1
Thorndike Press Large Print,eng,4.47,147.0,1
Smithsonian Books,eng,4.47,41.0,1
Westholme Publishing,eng,4.47,22.0,1
Bloomsbury USA Childrens,gla,4.47,11.0,1
Grove Weidenfeld,en-US,4.46,5018.0,1
America's Test Kitchen,eng,4.46,154.0,2
Viking Books for Young Readers,eng,4.46,129.0,1
Sovereign World,eng,4.46,34.0,1
MIT Press,en-US,4.45,3654.0,1
Our Daily Bread Publishing,eng,4.45,1372.0,1
AA World Services,en-US,4.45,495.0,1
Dabel Brothers Productions,eng,4.45,276.0,1
Voyageur Press,eng,4.45,115.75,2
Fab Press,eng,4.45,114.0,1
Ash Tree Publishing,eng,4.45,113.0,1
BCP/Duckworth Publishing,spa,4.45,90.0,1
Backstage Books,eng,4.45,53.0,1
Random House Inc.,eng,4.45,24.0,1
Alcoholics Anonymous World Services Inc,eng,4.45,22.0,1
Andrews McMeel Publishing,eng,4.445454545454545,22091.5,11
Veritas Publishing,eng,4.445,679.25,2
Penguin Signet,eng,4.44,207869.0,1
Modern Library (NY),eng,4.44,1464.0,1
Material World,eng,4.44,1455.0,1
Hazelden Publishing,en-US,4.44,955.0,1
Gun Digest Books,en-US,4.44,38.0,1
Mikaya Press,eng,4.44,37.0,1
Fireside Books,spa,4.44,9.0,1
Disney Editions,eng,4.44,7.0,1
Johnson Publishing Company (IL),eng,4.44,6.0,1
Self-Realization Fellowship Publishers,spa,4.44,0.0,1
DK,eng,4.4399999999999995,929.25,2
Starfire,eng,4.43,98611.0,1
Simon & Schuster; Media Tie-In edition,eng,4.43,82525.0,1
Tanglewood,en-GB,4.43,57737.0,1
Bollingen/Princeton University Press (NJ),eng,4.43,2318.0,1
Golden Books,en-US,4.43,1304.0,1
Triple Crown Publications,en-US,4.43,976.0,1
Seal Press,eng,4.43,42.0,1
SCM Press,eng,4.43,27.0,1
Possibilities,en-US,4.43,7.0,1
Praeger,eng,4.43,6.0,1
Arthur A. Levine Books / Scholastic Inc.,eng,4.42,597244.0,1
Yapı Kredi Yayınları,tur,4.42,1000.0,1
William Heinemann Ltd.,eng,4.42,808.0,1
Little  Brown & Company,en-US,4.42,335.0,1
National Park Service,eng,4.42,239.0,1
Bloomsbury USA Children's Books,lat,4.42,86.0,1
Plexus Publishing Ltd,eng,4.42,62.0,1
BBC Physical Audio,eng,4.4159999999999995,17.0,5
Ullstein Tb,ger,4.415,7.75,2
Blackstone Audiobooks,en-GB,4.41,3598.0,1
North Atlantic Books,en-US,4.41,2948.0,1
Limelight Editions,eng,4.41,2006.0,1
Chosen Books,eng,4.41,698.25,2
Bright Sky Press,eng,4.41,602.0,1
George Braziller Inc.,eng,4.41,17.0,1
Ullstein Buchverlage GmbH & Co. KG / Ullstein Tas,ger,4.41,6.0,1
Miramax Books,eng,4.404999999999999,4474.0,2
Arthur A. Levine,eng,4.4,11515.0,1
Viking Adult,en-US,4.4,70.0,1
聯經出版事業股份有限公司,zho,4.4,25.5,2
A & C Black (Childrens books),eng,4.4,5.0,1
North Atlantic Books,eng,4.3999999999999995,194.5,3
Harvest House Publishers,en-US,4.395,1119.5,2
Banner of Truth,eng,4.390000000000001,7130.0,2
University of Texas Press,eng,4.39,12613.0,1
One World/Ballantine,eng,4.39,2623.0,1
Bulfinch,eng,4.39,1885.0,1
William Morrow & Company  Inc.,eng,4.39,1004.0,1
Van Patten Publishing,eng,4.39,431.0,1
Harper Audio,eng,4.39,289.0,1
Piatkus Books,en-US,4.39,142.0,1
Avenel Books,eng,4.39,116.0,1
Yoruba Theological Archministry,eng,4.39,39.0,1
HarperTorch,spa,4.39,0.0,1
Doubleday & Company  Inc.,eng,4.38,183869.0,1
Book Publishing Company (TN),eng,4.38,5166.0,1
Encounter Books,eng,4.38,2579.0,1
Dafina Books,en-US,4.38,1763.0,1
Liveright Publishing Corp.,eng,4.38,1206.0,1
Abstract Studio,eng,4.38,999.0,1
Urban Books,en-US,4.38,971.0,1
Wordsworth Classics,eng,4.38,96.0,1
Actes Sud,fre,4.38,21.0,1
Reader's Digest Association,eng,4.38,13.0,1
Gaia Books,spa,4.38,6.0,1
Stonewall Inn Editions,eng,4.37,19747.0,1
Dark Horse Manga,en-US,4.37,4831.0,1
Orbis Books,en-US,4.37,1311.0,1
Hearst Communications,eng,4.37,1160.0,1
Taunton Press,eng,4.37,996.0,2
Wiley (TP),eng,4.37,660.0,1
LSU Press,eng,4.37,173.0,1
Lodestar Books,eng,4.37,112.0,1
School Specialty Publishing,eng,4.37,89.0,1
Salani,ita,4.37,36.0,1
ビブロス,jpn,4.37,4.0,1
Ace Hardcover,eng,4.36,50427.0,1
Purple House Press,eng,4.36,20235.0,1
Feiwel & Friends,en-US,4.36,12837.0,1
Geddes & Grosset,eng,4.36,5906.0,1
Broadway,eng,4.36,5362.0,1
Rider,eng,4.36,1959.0,1
Beacon Press (Boston),eng,4.36,391.0,1
Overeaters Anonymous  Incorporated,en-US,4.36,213.0,1
Semiotext(e),eng,4.36,124.0,1
Ballantine Books,ale,4.36,102.0,1
Wayne State University Press,en-US,4.36,78.0,1
Aurum Press,eng,4.36,22.0,1
Fleming H. Revell Company,eng,4.36,20.0,1
Cartago,eng,4.36,4.0,1
William Morrow,en-GB,4.355,5757.0,2
Liveright/W.W. Norton & Company  Inc.,eng,4.35,19542.0,1
Vintage Books a division of Random House,eng,4.35,4022.0,1
Regal Books,eng,4.35,767.0,1
Dover Publications,fre,4.35,569.0,1
Futura,en-GB,4.35,188.0,1
Morpheus International,eng,4.35,115.0,1
Vida,spa,4.35,26.0,1
McGraw-Hill Medical Publishing,eng,4.35,23.0,1
BBC Audiobooks Ltd,eng,4.35,17.0,1
Redleaf Press,eng,4.35,16.0,1
Shueisha,jpn,4.346666666666667,426.0,3
Gemstone Publishing,eng,4.343333333333334,1713.0,3
Be Beautiful,eng,4.343333333333334,497.5,3
Harpercollins Childrens Books,eng,4.34,349247.0,1
Golden Books,eng,4.34,85990.0,2
Bantam Books  Inc.,eng,4.34,85927.0,1
Bloomsbury Publishing,eng,4.34,10376.5,2
Crossroad,en-US,4.34,8228.0,1
Tyndale Momentum,eng,4.34,6861.0,1
New Press (NY),eng,4.34,718.0,1
University Of Minnesota Press,eng,4.34,641.0,1
Bastei Lübbe,ger,4.34,256.0,1
Douglas & McIntyre,eng,4.34,256.0,1
Gramercy,eng,4.34,239.5,3
Plaza & Janes Editores Sa,spa,4.34,64.0,1
Cook's Illustrated,eng,4.335,30.0,2
Little Simon,en-US,4.33,21875.0,1
Phoenix Press (UK),eng,4.33,1552.0,1
Everyman's Library Classics,eng,4.33,607.0,1
Mirrorstone,eng,4.33,577.0,1
Destiny Image Incorporated,eng,4.33,545.0,1
Edimat Libros,eng,4.33,116.0,1
Acropolis Books (NY),eng,4.33,80.0,1
Saunders,en-US,4.33,55.0,1
Emecé Editores,spa,4.33,39.0,2
Barn Owl Books,eng,4.33,35.0,1
Ivan R. Dee  Publisher,en-GB,4.33,16.0,1
Mayfield Publishing Company (NY),eng,4.33,9.0,1
University of Pittsburgh Press,eng,4.33,9.0,1
Checkmark Books,eng,4.33,8.0,1
Cherry Lane Music Company,eng,4.33,6.0,1
Cambridge University Press,en-GB,4.33,5.0,1
Random House  for Young Readers,eng,4.33,3.0,1
Manchester University Press,eng,4.33,0.0,1
Métailié,fre,4.33,0.0,1
University of Washington Press,en-US,4.324999999999999,70.5,2
Dutton Children's Books,eng,4.32,6926.0,2
Simon Publications,eng,4.32,3146.0,1
Holloway House,en-US,4.32,1493.0,1
Columbia Pictures Pubns,eng,4.32,1436.0,1
TokyoPop,en-GB,4.32,562.0,1
Basic Books (AZ),eng,4.32,328.0,1
Birlinn Ltd,eng,4.32,318.0,1
Tougher Disguises,eng,4.32,69.0,1
Child's Play International,en-US,4.32,65.0,1
Disney Enterprises,eng,4.32,34.0,1
Edaf S.A.,spa,4.32,30.0,1
Urion Press,eng,4.32,19.0,1
Hovel Audio,eng,4.32,15.75,2
Webster's New World,en-US,4.32,14.0,1
Paul Dry Books,eng,4.318,63.0,5
Whitaker House,eng,4.3149999999999995,1401.75,2
Christian Classics,eng,4.3100000000000005,2051.25,2
Presidio Press,eng,4.31,21876.0,1
Conari Press,eng,4.31,5495.0,1
Mariner Books,fre,4.31,3045.0,1
Windsor Golden Series,eng,4.31,406.0,1
Open Heaven Publications,eng,4.31,126.0,1
Doubleday Books for Young Readers,en-US,4.31,125.0,1
Southern Methodist University Press,eng,4.31,67.0,1
Orbis Books,eng,4.31,62.0,1
Festival Books,eng,4.31,56.0,1
Batsford,eng,4.31,51.0,1
Rux Martin/Houghton Mifflin Harcourt,eng,4.31,34.0,1
Teaching Resources,eng,4.31,9.5,3
Puffin Audiobooks,eng,4.31,6.0,1
Planeta,spa,4.305,3843.75,2
Little Bookroom,eng,4.3,5379.0,1
Del Rey Ballantine Random House,eng,4.3,3875.0,1
Plaza y Janes,eng,4.3,1120.0,1
Ave Maria Press,en-US,4.3,782.0,1
Lulu Press,eng,4.3,493.0,1
