author_name,engagement_index,ratings_count_capped,text_reviews_count_capped,book_count
Stephen King,26.259654524900863,3907008,80151,95
J.K. Rowling,20.201496996048178,2771858,68191,25
Neil Gaiman,19.253067319654598,2234924,75819,33
Nicholas Sparks,18.71577213839999,2591888,62655,19
Mary GrandPré,17.63392792554188,2430551,59425,6
William Shakespeare,17.167471788909292,2740852,47986,93
James Patterson,16.15763039158474,2231650,54455,43
Jodi Picoult,15.507081558733,1677899,64592,18
J.R.R. Tolkien,14.4712693130361,2156933,44745,55
John Grisham,14.37012825097356,2442299,36497,20
Agatha Christie,13.587525231003134,1644775,52166,47
Diana Gabaldon,12.833756577850256,1459446,51844,11
Roald Dahl,12.248740853658934,1825572,38107,46
Quentin Blake,11.772038575108759,1783472,35917,21
Sophie Kinsella,10.77996095921938,1563492,34860,9
Bill Bryson,9.569524973759668,917940,43545,24
Dan Brown,9.35293105670285,1236313,33624,15
Haruki Murakami,9.283428507632518,851257,43326,22
Rick Riordan,8.968296780851873,1210699,31636,5
Barbara Kingsolver,8.572183656471577,908286,36889,7
Jeffrey Eugenides,8.43597469768912,1138674,29852,3
John Steinbeck,8.24104853781848,977417,32766,18
Terry Pratchett,8.186011960575602,1205631,26349,34
Scott Westerfeld,8.019423418853473,921804,32701,7
Dean Koontz,7.929629018348487,1053302,28601,35
Lois Lowry,7.709093334232637,841209,32682,8
Paulo Coelho,7.686230597507228,951299,29612,14
Mark Twain,7.670311131108596,1269204,21094,31
Ayn Rand,7.633975467849958,751500,34534,16
Anne Rice,7.515211168110687,1210604,21569,30
John Seelye,7.452187138623096,1233414,20529,3
Jane Austen,7.446167666208666,1046486,25431,33
Jon Krakauer,7.438895986789847,958371,27711,5
Malcolm Gladwell,7.433297031158492,1044437,25396,4
Garth Williams,7.24637859883188,1073427,23334,17
Janet Evanovich,7.108727307273071,1029003,23555,29
Kurt Vonnegut Jr.,7.0108500415171795,901985,26236,25
Guy Cardwell,6.964346790401276,1194521,18177,3
Orson Scott Card,6.943367544736741,801383,28429,44
Fyodor Dostoyevsky,6.848332332968251,898612,25199,40
J.D. Salinger,6.738123348861241,918171,23918,7
Markus Zusak,6.435847923548261,718388,27107,6
Isaac Asimov,6.253920062525494,991812,18615,22
