author_name,author_rank,canonical_book_id,title,average_rating,ratings_count_capped,text_reviews_capped,language_code,total_ratings
Stephen King,1,11588,The Shining,4.22,597244,14812,eng,3906913.0
Stephen King,2,10614,Misery,4.16,429510,7051,eng,3906913.0
Stephen King,3,10583,Pet Sematary,3.98,257466,3768,eng,3906913.0
J.K. Rowling,1,1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),4.57,597244,14812,eng,2771858.0
J.K. Rowling,2,5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),4.56,597244,14812,eng,2771858.0
J.K. Rowling,3,2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),4.49,597244,14812,eng,2771858.0
William Shakespeare,1,1420,Hamlet,4.02,597244,7139,eng,2740852.0
William Shakespeare,2,18135,Romeo and Juliet,3.74,597244,14637,eng,2740852.0
William Shakespeare,3,8852,Macbeth,3.9,592315,7791,eng,2740852.0
Nicholas Sparks,1,15931,The Notebook (The Notebook  #1),4.09,597244,14812,eng,2591888.0
Nicholas Sparks,2,3473,A Walk to Remember,4.17,555995,10173,eng,2591888.0
Nicholas Sparks,3,5526,Dear John,4.03,502726,9645,eng,2591888.0
John Grisham,1,5358,The Firm,4.01,540910,3378,eng,2442299.0
John Grisham,2,5359,The Client,4.0,367399,1978,eng,2442299.0
John Grisham,3,32499,The Pelican Brief,4.0,340714,1942,eng,2442299.0
Mary GrandPré,1,1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),4.57,597244,14812,eng,2430551.0
Mary GrandPré,2,5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),4.56,597244,14812,eng,2430551.0
Mary GrandPré,3,2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),4.49,597244,14812,eng,2430551.0
Neil Gaiman,1,17061,Coraline,4.06,403622,13096,eng,2234924.0
Neil Gaiman,2,4407,American Gods (American Gods  #1),4.11,383045,14812,eng,2234924.0
Neil Gaiman,3,14497,Neverwhere (London Below  #1),4.17,345122,14812,eng,2234924.0
James Patterson,1,13145,Along Came a Spider (Alex Cross  #1),4.11,369267,4011,eng,2231650.0
James Patterson,2,13148,Kiss the Girls (Alex Cross  #2),3.96,297211,2943,eng,2231650.0
James Patterson,3,13137,1st to Die (Women's Murder Club  #1),4.08,269826,5220,eng,2231650.0
J.R.R. Tolkien,1,34,The Fellowship of the Ring (The Lord of the Rings  #1),4.36,597244,13670,eng,2156933.0
J.R.R. Tolkien,2,5907,The Hobbit  or There and Back Again,4.27,597244,14812,eng,2156933.0
J.R.R. Tolkien,3,15241,The Two Towers (The Lord of the Rings  #2),4.44,593467,5798,eng,2156933.0
Roald Dahl,1,6310,Charlie and the Chocolate Factory (Charlie Bucket  #1),4.13,558799,7239,eng,1825572.0
Roald Dahl,2,39988,Matilda,4.31,541914,11576,eng,1825572.0
Roald Dahl,3,6689,James and the Giant Peach,4.01,328542,4733,eng,1825572.0
Quentin Blake,1,6310,Charlie and the Chocolate Factory (Charlie Bucket  #1),4.13,558799,7239,eng,1783472.0
Quentin Blake,2,39988,Matilda,4.31,541914,11576,eng,1783472.0
Quentin Blake,3,6689,James and the Giant Peach,4.01,328542,4733,eng,1783472.0
Jodi Picoult,1,10917,My Sister's Keeper,4.07,597244,14812,eng,1677899.0
Jodi Picoult,2,14866,Nineteen Minutes,4.12,270574,13491,eng,1677899.0
Jodi Picoult,3,10916,The Pact,4.01,244774,8841,eng,1677899.0
Agatha Christie,1,16299,And Then There Were None,4.26,597244,14812,eng,1644775.0
Agatha Christie,2,16343,The Mysterious Affair at Styles (Hercule Poirot  #1),3.99,196377,3885,eng,1644775.0
Agatha Christie,3,16304,Murder on the Orient Express (Hercule Poirot  #10),4.17,145660,5711,eng,1644775.0
Sophie Kinsella,1,9416,Confessions of a Shopaholic (Shopaholic  #1),3.64,597244,10079,eng,1563492.0
Sophie Kinsella,2,33724,Can You Keep a Secret?,3.84,333613,9326,eng,1563492.0
Sophie Kinsella,3,33722,The Undomestic Goddess,3.83,235032,6613,eng,1563492.0
Diana Gabaldon,1,10964,Outlander (Outlander  #1),4.23,597244,14812,eng,1459446.0
Diana Gabaldon,2,5364,Dragonfly in Amber (Outlander  #2),4.32,222140,11121,eng,1459446.0
Diana Gabaldon,3,10987,Voyager (Outlander  #3),4.39,198818,8130,eng,1459446.0
Mark Twain,1,24583,The Adventures of Tom Sawyer (Adventures of Tom and Huck  #1),3.91,597244,6783,eng,1269204.0
Mark Twain,2,2956,The Adventures of Huckleberry Finn (Adventures of Tom and Huck  #2),3.82,597244,11391,eng,1269204.0
Mark Twain,3,24580,The Adventures of Tom Sawyer and Adventures of Huckleberry Finn,4.08,33489,453,eng,1269204.0
John Seelye,1,24583,The Adventures of Tom Sawyer (Adventures of Tom and Huck  #1),3.91,597244,6783,eng,1233414.0
John Seelye,2,2956,The Adventures of Huckleberry Finn (Adventures of Tom and Huck  #2),3.82,597244,11391,eng,1233414.0
John Seelye,3,40395,A Princess of Mars (Barsoom  #1),3.81,38926,2355,eng,1233414.0
Dan Brown,1,960,Angels & Demons (Robert Langdon  #1),3.89,597244,14812,eng,1231548.0
Dan Brown,2,968,The Da Vinci Code (Robert Langdon  #2),3.84,597244,14812,eng,1231548.0
Dan Brown,3,969,The Da Vinci Code,3.84,13934,1459,eng,1231548.0
Rick Riordan,1,28187,The Lightning Thief (Percy Jackson and the Olympians  #1),4.25,597244,14812,eng,1210699.0
Rick Riordan,2,28186,The Sea of Monsters (Percy Jackson and the Olympians  #2),4.24,597244,14812,eng,1210699.0
Rick Riordan,3,44187,The Sea of Monsters (Percy Jackson and the Olympians  #2),4.24,10551,1205,eng,1210699.0
Anne Rice,1,43763,Interview with the Vampire (The Vampire Chronicles  #1),3.99,433413,7368,eng,1210604.0
Anne Rice,2,43814,The Vampire Lestat (The Vampire Chronicles  #2),4.07,156354,2720,eng,1210604.0
Anne Rice,3,43758,The Queen of the Damned (The Vampire Chronicles  #3),3.89,121794,1667,eng,1210604.0
Terry Pratchett,1,34497,The Color of Magic (Discworld  #1; Rincewind  #1),4.0,239617,4478,eng,1205631.0
Terry Pratchett,2,34507,Equal Rites (Discworld  #3; Witches  #1),4.03,110062,2261,eng,1205631.0
Terry Pratchett,3,34506,The Light Fantastic (Discworld  #2; Rincewind #2),3.97,91479,2031,eng,1205631.0
Guy Cardwell,1,24583,The Adventures of Tom Sawyer (Adventures of Tom and Huck  #1),3.91,597244,6783,eng,1194521.0
Guy Cardwell,2,2956,The Adventures of Huckleberry Finn (Adventures of Tom and Huck  #2),3.82,597244,11391,eng,1194521.0
Guy Cardwell,3,2953,Huck Finn/Pudd'nhead Wilson/No 44 Mysterious Stranger other Writings,4.06,33,3,en-US,1194521.0
Jeffrey Eugenides,1,5297,The Picture of Dorian Gray,4.08,597244,14812,eng,1138674.0
Jeffrey Eugenides,2,2187,Middlesex,4.0,540349,14812,eng,1138674.0
Jeffrey Eugenides,3,27500,Middlesex,4.0,1081,228,eng,1138674.0
Garth Williams,1,24178,Charlotte's Web,4.17,597244,14739,eng,1073427.0
Garth Williams,2,8337,Little House in the Big Woods (Little House  #1),4.18,201840,3463,eng,1073427.0
Garth Williams,3,8253,Little Town on the Prairie  (Little House  #7),4.19,71853,646,eng,1073427.0
Dean Koontz,1,14995,Odd Thomas (Odd Thomas  #1),3.97,227884,6253,eng,1053302.0
Dean Koontz,2,32439,Intensity,4.04,65221,2345,eng,1053302.0
Dean Koontz,3,16433,Forever Odd (Odd Thomas  #2),3.97,61555,2263,eng,1053302.0
