publication_year,canonical_book_count,average_rating,median_ratings_capped,avg_rating_rolling_3yr,median_engagement_rolling_3yr,avg_rating_delta_vs_prior_year
1995,249,3.9553,631.0,3.9553,631.0,
1996,250,3.9428,637.0,3.9491,634.0,-0.0125
1997,290,3.9146,427.0,3.9376,565.0,-0.0282
1998,396,3.9266,659.0,3.928,574.0,0.012
1999,450,3.9061,818.0,3.9158,635.0,-0.0205
2000,533,3.9219,762.0,3.9182,746.0,0.0158
2001,655,3.9443,755.0,3.9241,778.0,0.0224
2002,796,3.9371,723.0,3.9344,747.0,-0.0072
2003,930,3.9278,911.0,3.9364,796.0,-0.0093
2004,1063,3.9504,971.0,3.9384,868.0,0.0226
2005,1258,3.925,786.0,3.9344,889.0,-0.0254
2006,1697,3.914,1100.0,3.9298,952.0,-0.011
2007,517,3.9148,1023.0,3.9179,970.0,0.0008
2008,49,3.9763,1235.0,3.935,1119.0,0.0615
2009,42,3.9457,1932.0,3.9456,1397.0,-0.0306
2010,37,3.9949,1094.0,3.9723,1420.0,0.0492
2011,24,3.7754,232.0,3.9053,1086.0,-0.2195
2012,21,3.9257,2530.0,3.8987,1285.0,0.1503
2013,15,4.0667,106.0,3.9226,956.0,0.141
2014,9,4.0156,3587.0,4.0027,2074.0,-0.0511
2015,10,3.936,635.0,4.0061,1443.0,-0.0796
2016,6,3.9033,1377.0,3.9516,1866.0,-0.0327
2017,7,3.8671,55.0,3.9021,689.0,-0.0362
2018,5,4.014,34.0,3.9281,489.0,0.1469
2019,6,3.9183,1178.0,3.9331,422.0,-0.0957
2020,1,3.91,35275.0,3.9474,12162.0,-0.0083
